run_id,submit_time,rel_date,cr_count,cfd_count,npi_count,reserved_time,completed_time,tests_run
12,10/29/23 14:28,01/15/24,89,15,11,11/5/23 12:01,11/5/23 12:45,"['script6', 'script5', 'script3', 'script3', 'script4', 'script4', 'script4', 'script7', 'script5', 'script8', 'script4', 'script4', 'script5', 'script6', 'script9', 'script8', 'script7', 'script9', 'script1', 'script2', 'script4', 'script9', 'script9', 'script1', 'script8', 'script5', 'script4', 'script3', 'script7', 'script6', 'script5', 'script3', 'script8', 'script2', 'script10', 'script7', 'script3', 'script10', 'script5']"
13,9/28/23 18:45,01/15/24,22,12,11,10/2/23 12:27,10/2/23 14:16,"['script1', 'script6', 'script2', 'script2', 'script3', 'script8', 'script1', 'script4', 'script2', 'script6', 'script5', 'script6', 'script6', 'script7', 'script2', 'script5', 'script10', 'script10', 'script9', 'script8']"
14,1/28/23 23:57,06/15/23,77,10,14,2/4/23 14:00,2/4/23 14:47,"['script3', 'script5', 'script5', 'script2', 'script1', 'script1', 'script7', 'script9', 'script3', 'script2', 'script5', 'script8', 'script9', 'script7', 'script4', 'script1', 'script7', 'script4', 'script8', 'script8', 'script1', 'script10', 'script3', 'script4', 'script2', 'script3', 'script5', 'script10', 'script2', 'script8', 'script1', 'script7', 'script7', 'script1', 'script6']"
15,10/15/23 9:43,01/15/24,74,10,13,10/18/23 8:57,10/18/23 9:31,"['script5', 'script3', 'script9', 'script9', 'script9', 'script1', 'script8', 'script2', 'script1', 'script8', 'script6', 'script3', 'script5', 'script7']"
16,10/29/23 12:13,01/15/24,99,11,10,11/5/23 14:04,11/5/23 15:43,"['script5', 'script7', 'script9', 'script1', 'script2', 'script10', 'script5', 'script2', 'script2', 'script6', 'script4', 'script10', 'script4', 'script5', 'script7', 'script4', 'script9', 'script7', 'script2', 'script5', 'script1', 'script6', 'script3', 'script7', 'script5', 'script4', 'script8', 'script3', 'script1', 'script5', 'script9', 'script2', 'script8', 'script7', 'script9', 'script3', 'script2', 'script4', 'script5', 'script5', 'script9', 'script9']"
17,1/6/23 10:28,06/15/23,25,15,12,1/11/23 14:26,1/11/23 15:48,"['script5', 'script5', 'script9', 'script3', 'script6', 'script6', 'script3', 'script8', 'script4', 'script1', 'script6', 'script10', 'script3', 'script10', 'script4', 'script1', 'script6', 'script8', 'script8', 'script10', 'script5', 'script7', 'script2', 'script5', 'script1', 'script7', 'script10', 'script4', 'script4', 'script2']"
18,3/22/23 5:29,06/15/23,14,15,15,3/25/23 9:11,3/25/23 10:36,"['script6', 'script9', 'script2', 'script7', 'script7', 'script10', 'script10', 'script9', 'script10', 'script7', 'script6', 'script8', 'script1', 'script8', 'script1', 'script7', 'script2', 'script2', 'script8', 'script8']"
19,2/22/23 2:31,06/15/23,103,10,14,2/24/23 8:41,2/24/23 9:21,"['script10', 'script7', 'script10', 'script9', 'script9', 'script9', 'script8', 'script3', 'script4', 'script1', 'script8', 'script7', 'script3', 'script2', 'script10']"
20,7/5/23 9:51,01/15/24,45,10,11,7/7/23 13:13,7/7/23 14:54,"['script8', 'script5', 'script6', 'script6', 'script1', 'script6', 'script5', 'script9', 'script2', 'script10', 'script2', 'script3', 'script6', 'script3', 'script7', 'script8']"
21,7/5/23 0:02,01/15/24,16,15,14,7/7/23 15:12,7/7/23 16:19,"['script7', 'script3', 'script4', 'script2', 'script2', 'script3', 'script2', 'script8', 'script9', 'script3', 'script4', 'script5', 'script9', 'script9']"
22,5/21/23 7:20,06/15/23,103,15,15,5/23/23 11:37,5/23/23 12:29,"['script1', 'script9', 'script6', 'script7', 'script5', 'script8', 'script7', 'script10', 'script4', 'script8', 'script4', 'script7', 'script5', 'script8', 'script7', 'script3', 'script3']"
23,4/17/23 14:49,06/15/23,25,14,14,4/20/23 9:25,4/20/23 10:28,"['script7', 'script10', 'script6', 'script10', 'script8', 'script8', 'script7', 'script3', 'script3', 'script6', 'script2', 'script6', 'script2', 'script8']"
24,7/19/23 11:59,01/15/24,13,15,10,7/21/23 10:29,7/21/23 12:14,"['script3', 'script10', 'script6', 'script8', 'script5', 'script4', 'script2', 'script9', 'script10', 'script9', 'script8', 'script6', 'script8', 'script6', 'script10', 'script7', 'script3', 'script8']"
25,10/8/23 5:03,01/15/24,16,13,13,10/14/23 14:33,10/14/23 16:16,"['script6', 'script2', 'script8', 'script4', 'script8', 'script1', 'script2', 'script9', 'script2', 'script8', 'script4', 'script6', 'script10', 'script3', 'script8', 'script5', 'script5', 'script8', 'script2', 'script1', 'script10', 'script7', 'script1', 'script5', 'script2', 'script4', 'script6', 'script5', 'script6', 'script2', 'script3']"
26,3/17/23 20:27,06/15/23,26,13,12,3/22/23 8:47,3/22/23 10:29,"['script6', 'script1', 'script10', 'script4', 'script8', 'script10', 'script8', 'script1', 'script7', 'script1', 'script5', 'script10', 'script10', 'script1', 'script8', 'script1', 'script9', 'script1', 'script1', 'script9', 'script7', 'script1', 'script5', 'script2', 'script6', 'script5']"
27,9/2/23 2:57,01/15/24,96,14,13,9/5/23 10:11,9/5/23 11:31,"['script7', 'script4', 'script1', 'script7', 'script6', 'script3', 'script9', 'script9', 'script10', 'script6', 'script3', 'script2', 'script4', 'script7', 'script10', 'script2', 'script7', 'script1', 'script2', 'script3', 'script10', 'script5', 'script7']"
28,7/29/23 16:33,01/15/24,85,15,11,7/31/23 10:06,7/31/23 12:02,"['script7', 'script2', 'script6', 'script3', 'script4', 'script10', 'script2', 'script7']"
29,4/23/23 5:48,06/15/23,82,15,15,4/29/23 13:43,4/29/23 15:20,"['script2', 'script7', 'script8', 'script1', 'script7', 'script10', 'script1', 'script1', 'script8', 'script2', 'script4', 'script2', 'script6', 'script8', 'script9', 'script2', 'script5', 'script1', 'script2', 'script4', 'script1', 'script6', 'script2', 'script2', 'script3', 'script1', 'script6', 'script6', 'script5', 'script7', 'script7', 'script10', 'script7']"
30,9/13/23 23:37,01/15/24,81,13,13,9/20/23 13:55,9/20/23 15:25,"['script6', 'script9', 'script3', 'script6', 'script2', 'script2', 'script4', 'script10', 'script4', 'script7', 'script4', 'script3', 'script5', 'script4', 'script9', 'script8', 'script5', 'script9', 'script3', 'script10', 'script3', 'script7', 'script7', 'script6', 'script9', 'script9', 'script8', 'script7', 'script8', 'script3', 'script1', 'script8', 'script1', 'script2', 'script6', 'script4', 'script9', 'script4', 'script3', 'script10', 'script6', 'script5']"
31,1/6/23 10:48,06/15/23,64,12,14,1/11/23 16:44,1/11/23 17:52,"['script10', 'script2', 'script9', 'script4', 'script6', 'script2', 'script3', 'script9', 'script7', 'script6', 'script4', 'script9', 'script4', 'script1', 'script6', 'script2', 'script2', 'script3', 'script6', 'script10', 'script8', 'script4', 'script3', 'script4', 'script9', 'script7', 'script4', 'script8', 'script2', 'script4', 'script10', 'script7', 'script2', 'script4', 'script1', 'script6', 'script5']"
32,6/5/23 23:16,06/15/23,43,13,14,6/8/23 12:43,6/8/23 13:42,"['script10', 'script5', 'script2', 'script8', 'script1', 'script1', 'script3', 'script6', 'script10', 'script8', 'script6', 'script4', 'script10', 'script6', 'script1', 'script7', 'script3', 'script6', 'script4']"
33,7/11/23 9:40,01/15/24,21,13,15,7/14/23 13:36,7/14/23 14:39,"['script6', 'script10', 'script6', 'script3', 'script9', 'script10', 'script4', 'script5', 'script9', 'script9', 'script1', 'script7', 'script2', 'script8', 'script4', 'script5', 'script5', 'script7', 'script10']"
34,5/13/23 22:49,06/15/23,92,10,14,5/20/23 10:12,5/20/23 11:40,"['script1', 'script8', 'script9', 'script3', 'script8', 'script5', 'script6', 'script3', 'script10', 'script3', 'script7', 'script9', 'script5', 'script3', 'script10', 'script1', 'script4', 'script6', 'script2', 'script9', 'script4', 'script3', 'script6', 'script7', 'script7', 'script10', 'script10', 'script5', 'script4', 'script1', 'script1', 'script6', 'script3', 'script8']"
35,7/1/23 2:38,01/15/24,35,14,10,7/6/23 10:04,7/6/23 11:50,"['script6', 'script9', 'script5', 'script5', 'script2', 'script3', 'script2', 'script10', 'script10', 'script10', 'script1', 'script1', 'script10', 'script8', 'script3', 'script4', 'script7', 'script10', 'script8', 'script3', 'script6', 'script4', 'script5', 'script7', 'script8', 'script5', 'script10', 'script2', 'script9']"
36,6/23/23 7:45,06/15/23,64,12,12,6/30/23 15:37,6/30/23 17:10,"['script10', 'script9', 'script9', 'script9', 'script5', 'script6', 'script6', 'script8', 'script7', 'script6', 'script8', 'script5', 'script9', 'script2', 'script2', 'script6', 'script10', 'script3', 'script3', 'script7', 'script2', 'script1', 'script5', 'script9', 'script4', 'script10', 'script9', 'script2', 'script9', 'script4', 'script10', 'script2', 'script5', 'script1', 'script8', 'script5', 'script3', 'script4', 'script1', 'script2']"
37,5/28/23 12:58,06/15/23,69,11,11,5/29/23 13:35,5/29/23 14:27,"['script7', 'script6', 'script5', 'script7', 'script7', 'script7', 'script6', 'script3', 'script1', 'script1', 'script10', 'script2', 'script2']"
38,3/1/23 18:05,06/15/23,34,15,12,3/7/23 9:04,3/7/23 11:02,"['script4', 'script6', 'script2', 'script9', 'script4', 'script2', 'script4', 'script9', 'script4', 'script3', 'script6', 'script4', 'script1', 'script6', 'script6', 'script9', 'script5', 'script9', 'script7', 'script7', 'script9', 'script10', 'script5', 'script2', 'script8', 'script2', 'script8', 'script5', 'script5', 'script9', 'script2', 'script8', 'script4']"
39,11/6/23 3:20,01/15/24,112,14,10,11/13/23 8:00,11/13/23 9:27,"['script2', 'script3', 'script1', 'script8', 'script10', 'script1', 'script3', 'script7', 'script10', 'script3', 'script7', 'script7', 'script5', 'script9', 'script10', 'script6', 'script9', 'script1', 'script8', 'script9', 'script5', 'script1', 'script2', 'script4', 'script7', 'script9', 'script8', 'script10', 'script3', 'script6', 'script6', 'script8', 'script9', 'script3', 'script5', 'script9', 'script6', 'script3', 'script4', 'script6']"
40,9/28/23 4:34,01/15/24,112,14,15,10/5/23 11:26,10/5/23 12:11,"['script4', 'script5', 'script3', 'script1', 'script5', 'script3', 'script2', 'script1', 'script7', 'script7', 'script7', 'script7', 'script1', 'script2', 'script6', 'script10', 'script7', 'script9', 'script9', 'script7', 'script2', 'script1', 'script5', 'script7', 'script8', 'script10', 'script9', 'script8', 'script3', 'script9', 'script4', 'script6', 'script5', 'script7', 'script2', 'script8', 'script1', 'script5', 'script2', 'script7', 'script10']"
41,2/6/23 11:01,06/15/23,45,14,14,2/7/23 9:28,2/7/23 10:54,"['script1', 'script1', 'script9', 'script4', 'script3', 'script10']"
42,10/22/23 4:58,01/15/24,67,13,12,10/29/23 14:27,10/29/23 15:59,"['script1', 'script1', 'script5', 'script2', 'script4', 'script5', 'script8', 'script7', 'script6', 'script7', 'script9', 'script5', 'script10', 'script1', 'script4', 'script4', 'script6', 'script8', 'script5', 'script9', 'script4', 'script6', 'script10', 'script2', 'script1', 'script8', 'script1', 'script4', 'script10', 'script6', 'script10', 'script3', 'script4', 'script9', 'script9', 'script8', 'script8', 'script1', 'script2', 'script3', 'script1', 'script9', 'script2', 'script9', 'script1', 'script9', 'script6', 'script1']"
43,3/1/23 12:03,06/15/23,41,10,10,3/3/23 14:39,3/3/23 15:25,"['script4', 'script3', 'script7', 'script8', 'script3', 'script6', 'script6', 'script10', 'script2', 'script7', 'script3', 'script3', 'script9', 'script1', 'script3', 'script5', 'script5', 'script2', 'script7']"
44,8/25/23 0:07,01/15/24,106,15,10,8/31/23 16:21,8/31/23 18:18,"['script5', 'script8', 'script1', 'script1', 'script1', 'script8', 'script6', 'script4', 'script2', 'script7', 'script4', 'script7', 'script2', 'script8', 'script2', 'script2', 'script9', 'script8', 'script1', 'script2', 'script4', 'script5', 'script10', 'script5', 'script8', 'script10', 'script3', 'script10', 'script2', 'script4']"
45,6/15/23 2:34,06/15/23,65,11,15,6/20/23 11:54,6/20/23 12:47,"['script1', 'script7', 'script4', 'script7', 'script6', 'script5', 'script6', 'script5', 'script5', 'script4', 'script1', 'script8', 'script4', 'script8', 'script9', 'script7', 'script10', 'script4', 'script9', 'script9', 'script2', 'script1', 'script2', 'script7', 'script4', 'script9', 'script2', 'script3', 'script10', 'script1', 'script7', 'script7', 'script4']"
46,5/30/23 9:47,06/15/23,83,15,14,6/6/23 9:35,6/6/23 11:06,"['script8', 'script3', 'script9', 'script9', 'script3', 'script10', 'script5', 'script3', 'script9', 'script3', 'script5', 'script1', 'script10', 'script8', 'script8', 'script10', 'script1', 'script7', 'script9', 'script9', 'script2', 'script10', 'script7', 'script4', 'script10', 'script10', 'script2', 'script5', 'script6', 'script6', 'script5', 'script4', 'script2', 'script4', 'script4', 'script4', 'script8', 'script6', 'script7', 'script3', 'script1', 'script7', 'script7', 'script2']"
47,8/22/23 12:40,01/15/24,32,11,15,8/28/23 9:27,8/28/23 11:23,"['script8', 'script10', 'script3', 'script5', 'script10', 'script6', 'script8', 'script3', 'script10', 'script6', 'script9', 'script8', 'script6', 'script1', 'script8', 'script8', 'script4', 'script4', 'script2', 'script5', 'script1', 'script5', 'script4', 'script10', 'script2', 'script4', 'script2', 'script2', 'script4', 'script10', 'script7', 'script5']"
48,11/6/23 11:33,01/15/24,36,10,10,11/7/23 11:46,11/7/23 12:47,"['script5', 'script1', 'script6', 'script4', 'script3', 'script8', 'script2', 'script1', 'script7']"
49,3/10/23 17:52,06/15/23,54,11,15,3/17/23 12:31,3/17/23 13:35,"['script1', 'script10', 'script1', 'script10', 'script1', 'script8', 'script5', 'script2', 'script10', 'script1', 'script4', 'script4', 'script8', 'script7', 'script4', 'script9', 'script7', 'script10', 'script6', 'script2', 'script8', 'script7', 'script3', 'script9', 'script7', 'script10', 'script1', 'script7', 'script8', 'script9', 'script1', 'script9', 'script5', 'script2', 'script3', 'script8']"
50,4/29/23 18:07,06/15/23,26,11,12,5/1/23 11:58,5/1/23 13:34,"['script10', 'script10', 'script8', 'script7', 'script9', 'script5', 'script10', 'script9', 'script6', 'script10', 'script5']"
51,6/21/23 11:15,06/15/23,62,11,12,6/25/23 11:11,6/25/23 12:04,"['script5', 'script3', 'script8', 'script3', 'script9', 'script4', 'script4', 'script1', 'script4', 'script2', 'script10', 'script6', 'script2', 'script7', 'script2', 'script1', 'script5', 'script7', 'script8', 'script8', 'script7']"
52,8/14/23 3:11,01/15/24,47,15,10,8/15/23 15:43,8/15/23 17:05,"['script3', 'script10', 'script3', 'script5', 'script1', 'script2', 'script6', 'script4', 'script9', 'script2']"
53,5/10/23 17:49,06/15/23,30,12,12,5/13/23 10:35,5/13/23 11:28,"['script8', 'script7', 'script4', 'script4', 'script4', 'script10', 'script7', 'script2', 'script8', 'script3', 'script5', 'script5', 'script3']"
54,3/30/23 19:24,06/15/23,106,14,14,4/6/23 12:15,4/6/23 13:15,"['script3', 'script6', 'script2', 'script10', 'script2', 'script7', 'script5', 'script6', 'script10', 'script6', 'script5', 'script9', 'script10', 'script5', 'script5', 'script10', 'script2', 'script6', 'script8', 'script4', 'script1', 'script9', 'script7', 'script8', 'script8', 'script3', 'script6', 'script7', 'script5', 'script2', 'script6', 'script3', 'script1', 'script6', 'script7', 'script10']"
55,2/16/23 0:57,06/15/23,56,13,10,2/18/23 15:12,2/18/23 16:00,"['script4', 'script4', 'script6', 'script6', 'script7', 'script2', 'script8', 'script5', 'script3', 'script4', 'script9', 'script3', 'script6']"
56,9/16/23 1:28,01/15/24,115,10,11,9/21/23 10:08,9/21/23 11:50,"['script10', 'script10', 'script5', 'script10', 'script5', 'script9', 'script6', 'script2', 'script6', 'script7', 'script2', 'script6', 'script2', 'script1', 'script4', 'script6', 'script10', 'script2', 'script10', 'script9', 'script10', 'script1', 'script9', 'script9', 'script10', 'script9', 'script10']"
57,10/21/23 8:36,01/15/24,34,15,15,10/26/23 15:47,10/26/23 17:07,"['script7', 'script6', 'script3', 'script7', 'script7', 'script8', 'script5', 'script2', 'script6', 'script3', 'script2', 'script1', 'script7', 'script6', 'script4', 'script6', 'script4', 'script7', 'script10', 'script5', 'script6', 'script1', 'script10', 'script5', 'script1', 'script8', 'script5', 'script10', 'script4', 'script5', 'script9', 'script10', 'script8', 'script9', 'script7']"
58,5/31/23 22:58,06/15/23,45,10,11,6/2/23 10:02,6/2/23 11:52,"['script3', 'script8', 'script4', 'script6', 'script4', 'script4', 'script10', 'script10', 'script9', 'script8', 'script9', 'script4']"
59,10/25/23 17:36,01/15/24,105,14,14,10/28/23 10:35,10/28/23 11:49,"['script9', 'script1', 'script8', 'script1', 'script5', 'script9', 'script8', 'script7', 'script2', 'script4', 'script4', 'script4']"
60,4/15/23 7:27,06/15/23,33,13,14,4/17/23 16:16,4/17/23 17:52,"['script7', 'script3', 'script7', 'script8', 'script7', 'script6', 'script9', 'script3', 'script6', 'script1', 'script6', 'script3', 'script6', 'script3', 'script10']"
61,11/1/23 17:21,01/15/24,33,12,11,11/2/23 13:50,11/2/23 15:14,"['script3', 'script6', 'script8', 'script1', 'script9', 'script1']"
62,2/10/23 0:33,06/15/23,44,13,14,2/17/23 10:14,2/17/23 11:58,"['script9', 'script7', 'script8', 'script7', 'script8', 'script3', 'script4', 'script1', 'script4', 'script8', 'script8', 'script9', 'script8', 'script10', 'script1', 'script8', 'script1', 'script5', 'script9', 'script10', 'script6', 'script4', 'script4', 'script6', 'script7', 'script5', 'script1', 'script5', 'script9', 'script6', 'script6', 'script7', 'script7', 'script2', 'script4', 'script4', 'script7', 'script4', 'script4']"
63,11/2/23 4:45,01/15/24,94,14,10,11/7/23 13:13,11/7/23 14:50,"['script8', 'script3', 'script2', 'script3', 'script4', 'script7', 'script7', 'script1', 'script1', 'script4', 'script8', 'script2', 'script10', 'script2', 'script10', 'script2', 'script9', 'script3', 'script8', 'script6', 'script8', 'script4', 'script10', 'script1', 'script3', 'script4', 'script6', 'script2', 'script10', 'script9', 'script1', 'script5', 'script5', 'script1', 'script8', 'script6']"
64,10/1/23 4:21,01/15/24,60,10,14,10/7/23 11:29,10/7/23 12:14,"['script9', 'script6', 'script5', 'script2', 'script9', 'script4', 'script6', 'script4', 'script1', 'script10', 'script7', 'script1', 'script1', 'script5', 'script8', 'script9', 'script4', 'script7', 'script7', 'script4', 'script8', 'script4', 'script4', 'script3', 'script6', 'script5', 'script7', 'script2', 'script3', 'script5', 'script5', 'script6', 'script9', 'script6', 'script2', 'script7', 'script5', 'script9']"
65,9/29/23 6:07,01/15/24,96,15,13,9/30/23 9:43,9/30/23 11:00,"['script5', 'script6', 'script8', 'script9', 'script4', 'script6', 'script1', 'script2', 'script6']"
66,7/31/23 0:02,01/15/24,27,11,15,8/6/23 13:57,8/6/23 14:41,"['script1', 'script4', 'script5', 'script2', 'script7', 'script3', 'script4', 'script3', 'script1', 'script5', 'script3', 'script10', 'script7', 'script9', 'script4', 'script9', 'script6', 'script5', 'script6', 'script9', 'script10', 'script5', 'script7', 'script10', 'script10', 'script1', 'script3', 'script4', 'script1', 'script1', 'script1', 'script1', 'script8', 'script4', 'script4', 'script7', 'script10', 'script2', 'script10', 'script4']"
67,6/6/23 7:08,06/15/23,38,13,12,6/11/23 10:16,6/11/23 11:30,"['script1', 'script2', 'script6', 'script6', 'script1', 'script1', 'script4', 'script10', 'script1', 'script4', 'script2', 'script1', 'script6', 'script10', 'script1', 'script6', 'script6', 'script5', 'script10', 'script3', 'script2', 'script2', 'script3', 'script6', 'script2', 'script2', 'script4', 'script1']"
68,1/27/23 14:19,06/15/23,67,10,11,2/1/23 11:25,2/1/23 12:03,"['script2', 'script2', 'script10', 'script5', 'script8', 'script8', 'script10', 'script10', 'script8', 'script8', 'script3', 'script1', 'script5', 'script6', 'script1', 'script4', 'script1', 'script6', 'script6', 'script9', 'script6', 'script5', 'script4', 'script7']"
69,3/21/23 22:24,06/15/23,101,15,13,3/28/23 13:09,3/28/23 14:33,"['script1', 'script9', 'script4', 'script6', 'script10', 'script9', 'script3', 'script6', 'script4', 'script4', 'script1', 'script2', 'script3', 'script6', 'script5', 'script4', 'script9', 'script7', 'script10', 'script4', 'script3', 'script8', 'script4', 'script8', 'script4', 'script8', 'script5', 'script7', 'script8', 'script5', 'script7', 'script3', 'script10', 'script7', 'script3', 'script2', 'script1', 'script10']"
70,10/22/23 1:39,01/15/24,66,15,11,10/25/23 12:45,10/25/23 13:54,"['script9', 'script6', 'script9', 'script10', 'script6', 'script10', 'script8', 'script6', 'script7', 'script9', 'script1', 'script6', 'script6', 'script8', 'script5', 'script8', 'script1', 'script2', 'script4', 'script4']"
71,9/10/23 12:14,01/15/24,28,12,13,9/12/23 13:15,9/12/23 14:00,"['script2', 'script7', 'script7', 'script9', 'script5', 'script6', 'script8', 'script6', 'script6', 'script9', 'script1', 'script3', 'script4', 'script6']"
72,3/18/23 8:04,06/15/23,79,10,10,3/22/23 14:38,3/22/23 16:14,"['script3', 'script5', 'script7', 'script4', 'script4', 'script1', 'script3', 'script4', 'script6', 'script9', 'script10', 'script7', 'script4', 'script5', 'script1', 'script5', 'script2', 'script6', 'script3', 'script5', 'script8', 'script8', 'script10', 'script6', 'script2']"
73,2/2/23 8:46,06/15/23,113,11,12,2/7/23 15:05,2/7/23 16:48,"['script1', 'script1', 'script2', 'script4', 'script1', 'script9', 'script9', 'script7', 'script2', 'script3', 'script4', 'script8', 'script3', 'script4', 'script5', 'script7', 'script7', 'script5', 'script4', 'script3', 'script1', 'script10', 'script7', 'script6', 'script5', 'script7', 'script5', 'script6', 'script5', 'script8', 'script6']"
74,3/23/23 14:38,06/15/23,46,10,12,3/29/23 12:34,3/29/23 14:03,"['script3', 'script5', 'script6', 'script7', 'script3', 'script5', 'script2', 'script3', 'script3', 'script2', 'script4', 'script3', 'script4', 'script1', 'script2', 'script2', 'script3', 'script9', 'script10', 'script4', 'script4', 'script10', 'script9', 'script2', 'script1', 'script7', 'script8', 'script4', 'script1', 'script7', 'script4', 'script8', 'script2']"
75,10/15/23 11:14,01/15/24,51,11,10,10/20/23 11:26,10/20/23 12:23,"['script5', 'script4', 'script6', 'script6', 'script5', 'script5', 'script4', 'script9', 'script4', 'script8', 'script3', 'script3', 'script8', 'script9', 'script1', 'script9', 'script4', 'script9', 'script7', 'script7', 'script5', 'script10', 'script1', 'script8', 'script3', 'script2', 'script8', 'script7', 'script10', 'script9', 'script3']"
76,2/27/23 13:57,06/15/23,74,10,11,3/1/23 8:28,3/1/23 9:01,"['script7', 'script2', 'script7', 'script3', 'script5', 'script3', 'script5', 'script6', 'script1', 'script5', 'script8', 'script4']"
77,7/20/23 22:39,01/15/24,29,13,12,7/22/23 10:01,7/22/23 11:30,"['script2', 'script8', 'script2', 'script9', 'script4', 'script4', 'script5', 'script2']"
78,6/9/23 15:26,06/15/23,45,15,13,6/16/23 11:57,6/16/23 13:54,"['script5', 'script2', 'script8', 'script4', 'script2', 'script3', 'script10', 'script4', 'script2', 'script10', 'script2', 'script7', 'script6', 'script7', 'script5', 'script9', 'script2', 'script1', 'script8', 'script5', 'script2', 'script7', 'script9', 'script10', 'script10', 'script6', 'script1', 'script5', 'script10', 'script4', 'script5', 'script9', 'script4', 'script5', 'script8', 'script2', 'script5']"
79,3/3/23 17:24,06/15/23,29,12,10,3/7/23 8:13,3/7/23 8:47,"['script10', 'script4', 'script3', 'script8', 'script3', 'script4', 'script8', 'script5', 'script6', 'script4', 'script3', 'script10', 'script8', 'script10', 'script1', 'script4', 'script5']"
80,9/7/23 13:46,01/15/24,100,10,12,9/13/23 10:13,9/13/23 11:01,"['script7', 'script8', 'script1', 'script9', 'script9', 'script3', 'script9', 'script3', 'script8', 'script10', 'script9', 'script6', 'script5', 'script4', 'script3', 'script8', 'script2', 'script10', 'script5', 'script2', 'script2', 'script4', 'script2', 'script6', 'script1', 'script3', 'script6', 'script5', 'script7', 'script2', 'script4', 'script9', 'script10']"
81,7/26/23 15:44,01/15/24,88,14,11,7/29/23 14:59,7/29/23 16:10,"['script3', 'script1', 'script2', 'script5', 'script8', 'script9', 'script10', 'script9', 'script5', 'script2', 'script1', 'script10', 'script10', 'script4', 'script10', 'script5', 'script7', 'script7', 'script4']"
